N° Edição|Ano|Data|Município|Entidade|Categoria|Documento|Arquivo|URL|Identificador
5441|2.025|04/11/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Inexigibilidade 013-25 Publicacao Extrato Contrato 089-25|DM_5441_020_Avelino_Lopes_Licitacao_Inexigibilidade_013-25_Publicacao_Extrato_Contrato_089-25_pag_231.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5441/DM_5441_020_Avelino_Lopes_Licitacao_Inexigibilidade_013-25_Publicacao_Extrato_Contrato_089-25_pag_231.pdf|07384CFE0E168DD5
5442|2.025|05/11/2025|Avelino Lopes|Prefeitura|Decreto|Decreto 053-25 Credito Suplementar|DM_5442_026_Avelino_Lopes_Decreto_053-25_Credito_Suplementar_pag_36.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5442/DM_5442_026_Avelino_Lopes_Decreto_053-25_Credito_Suplementar_pag_36.pdf|01AB3733E0657DF7
5443|2.025|06/11/2025|Avelino Lopes|Prefeitura|Decreto|Decreto 067-25|DM_5443_024_Avelino_Lopes_Decreto_067-25_pag_360.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5443/DM_5443_024_Avelino_Lopes_Decreto_067-25_pag_360.pdf|089B92A4FC8E6D4E
5443|2.025|06/11/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Dispensa 019-25 Extrato Contrato 090-25|DM_5443_025_Avelino_Lopes_Licitacao_Dispensa_019-25_Extrato_Contrato_090-25_pag_360.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5443/DM_5443_025_Avelino_Lopes_Licitacao_Dispensa_019-25_Extrato_Contrato_090-25_pag_360.pdf|089B92A4FC8E6CF5
5448|2.025|13/11/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao PE 033-25 Ata Extrato Publicacao|DM_5448_034_Avelino_Lopes_Licitacao_PE_033-25_Ata_Extrato_Publicacao_pag_3.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5448/DM_5448_034_Avelino_Lopes_Licitacao_PE_033-25_Ata_Extrato_Publicacao_pag_3.pdf|0471C2DEDF30E940
5448|2.025|13/11/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao PE 033-25 Extrato Contrato 088-25|DM_5448_035_Avelino_Lopes_Licitacao_PE_033-25_Extrato_Contrato_088-25_pag_3.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5448/DM_5448_035_Avelino_Lopes_Licitacao_PE_033-25_Extrato_Contrato_088-25_pag_3.pdf|030E7D6681A6E941
5450|2.025|17/11/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Concorrencia Eletronica 005-25 Extrato Contrato 091-25|DM_5450_020_Avelino_Lopes_Licitacao_Concorrencia_Eletronica_005-25_Extrato_Contrato_091-25_pag_630.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5450/DM_5450_020_Avelino_Lopes_Licitacao_Concorrencia_Eletronica_005-25_Extrato_Contrato_091-25_pag_630.pdf|05D508B45E969A79
5455|2.025|25/11/2025|Avelino Lopes|Prefeitura|Resolucao|Resolucao 001-25 CMDCA|DM_5455_039_Avelino_Lopes_Resolucao_001-25_CMDCA_pag_416.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5455/DM_5455_039_Avelino_Lopes_Resolucao_001-25_CMDCA_pag_416.pdf|030E7E7DE739F8CD
5457|2.025|27/11/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Concorrencia Eletronica 006-25 Aviso Cancelamento|DM_5457_031_Avelino_Lopes_Licitacao_Concorrencia_Eletronica_006-25_Aviso_Cancelamento_pag_493.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5457/DM_5457_031_Avelino_Lopes_Licitacao_Concorrencia_Eletronica_006-25_Aviso_Cancelamento_pag_493.pdf|13B5C050DA9FDCDA
5458|2.025|28/11/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao PE 001-25 Contrato 017-25 Aditivo 01|DM_5458_030_Avelino_Lopes_Licitacao_PE_001-25_Contrato_017-25_Aditivo_01_pag_605.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5458/DM_5458_030_Avelino_Lopes_Licitacao_PE_001-25_Contrato_017-25_Aditivo_01_pag_605.pdf|0CC5650E4F64CDF0
